,school_name,district_name,county_name,enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,enroll11,numtsttakr11,numerwbenchmark11,pcterwbenchmark11,nummathbenchmark11,pctmathbenchmark11,totnumbothbenchmark12,pctbothbenchmark12,totnumbothbenchmark11,pctbothbenchmark11,year
468,Marco Antonio Firebaugh High,Lynwood Unified,Los Angeles,357.0,105.0,57.0,54.29,20.0,19.05,438.0,362.0,144.0,39.78,47.0,12.98,18.0,17.14,40.0,11.05,2018-19
471,Woodbridge High,Irvine Unified,Orange,616.0,229.0,219.0,95.63,201.0,87.77,581.0,270.0,264.0,97.78,260.0,96.3,198.0,86.46,256.0,94.81,2018-19
474,Del Norte High,Del Norte County Unified,Del Norte,203.0,71.0,49.0,69.01,36.0,50.7,205.0,66.0,51.0,77.27,38.0,57.58,30.0,42.25,37.0,56.06,2018-19
476,Burbank High,Burbank Unified,Los Angeles,586.0,230.0,193.0,83.91,171.0,74.35,660.0,219.0,205.0,93.61,198.0,90.41,164.0,71.3,191.0,87.21,2018-19
479,Synergy Quantum Academy,Los Angeles Unified,Los Angeles,125.0,88.0,41.0,46.59,19.0,21.59,131.0,66.0,40.0,60.61,19.0,28.79,15.0,17.05,19.0,28.79,2018-19
480,Atwater High,Merced Union High,Merced,474.0,119.0,67.0,56.3,34.0,28.57,417.0,88.0,63.0,71.59,41.0,46.59,31.0,26.05,39.0,44.32,2018-19
481,Estancia High,Newport-Mesa Unified,Orange,325.0,89.0,43.0,48.31,29.0,32.58,301.0,74.0,51.0,68.92,38.0,51.35,26.0,29.21,32.0,43.24,2018-19
482,West Valley High,Hemet Unified,Riverside,437.0,338.0,150.0,44.38,60.0,17.75,399.0,92.0,60.0,65.22,29.0,31.52,55.0,16.27,27.0,29.35,2018-19
485,Oak Ridge High,El Dorado Union High,El Dorado,592.0,256.0,246.0,96.09,222.0,86.72,613.0,330.0,315.0,95.45,310.0,93.94,218.0,85.16,304.0,92.12,2018-19
486,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,Los Angeles Unified,Los Angeles,79.0,35.0,17.0,48.57,3.0,8.57,83.0,70.0,26.0,37.14,7.0,10.0,3.0,8.57,6.0,8.57,2018-19
487,Palm Desert High,Desert Sands Unified,Riverside,435.0,136.0,117.0,86.03,89.0,65.44,463.0,425.0,315.0,74.12,185.0,43.53,87.0,63.97,180.0,42.35,2018-19
