,school_name,district_name,county_name,enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,enroll11,numtsttakr11,numerwbenchmark11,pcterwbenchmark11,nummathbenchmark11,pctmathbenchmark11,totnumbothbenchmark12,pctbothbenchmark12,totnumbothbenchmark11,pctbothbenchmark11,year
971,Options for Youth-San Juan,San Juan Unified,Sacramento,166.0,28.0,15.0,53.57,4.0,14.29,209.0,31.0,13.0,41.94,4.0,12.9,4.0,14.29,4.0,12.9,2018-19
973,Campolindo High,Acalanes Union High,Contra Costa,340.0,97.0,97.0,100.0,77.0,79.38,316.0,153.0,152.0,99.35,143.0,93.46,77.0,79.38,142.0,92.81,2018-19
974,Agoura High,Las Virgenes Unified,Los Angeles,459.0,134.0,124.0,92.54,111.0,82.84,494.0,207.0,197.0,95.17,176.0,85.02,109.0,81.34,174.0,84.06,2018-19
975,"Lennox Mathematics, Science and Technology Academy",Lennox,Los Angeles,143.0,144.0,84.0,58.33,56.0,38.89,139.0,120.0,87.0,72.5,61.0,50.83,54.0,37.5,59.0,49.17,2018-19
976,New Technology High,Napa Valley Unified,Napa,97.0,29.0,24.0,82.76,17.0,58.62,107.0,55.0,51.0,92.73,34.0,61.82,15.0,51.72,34.0,61.82,2018-19
977,Coachella Valley High,Coachella Valley Unified,Riverside,607.0,168.0,86.0,51.19,49.0,29.17,678.0,137.0,91.0,66.42,60.0,43.8,45.0,26.79,54.0,39.42,2018-19
978,Newark Memorial High,Newark Unified,Alameda,397.0,141.0,107.0,75.89,66.0,46.81,438.0,121.0,107.0,88.43,87.0,71.9,64.0,45.39,86.0,71.07,2018-19
980,Dana Hills High,Capistrano Unified,Orange,669.0,172.0,148.0,86.05,112.0,65.12,623.0,215.0,203.0,94.42,191.0,88.84,108.0,62.79,187.0,86.98,2018-19
981,Roseville High,Roseville Joint Union High,Placer,416.0,157.0,138.0,87.9,97.0,61.78,511.0,190.0,165.0,86.84,139.0,73.16,94.0,59.87,131.0,68.95,2018-19
982,Mount Miguel High,Grossmont Union High,San Diego,322.0,65.0,31.0,47.69,16.0,24.62,295.0,59.0,39.0,66.1,25.0,42.37,15.0,23.08,23.0,38.98,2018-19
983,Lincoln (Abraham) High,San Francisco Unified,San Francisco,519.0,319.0,243.0,76.18,228.0,71.47,516.0,281.0,243.0,86.48,217.0,77.22,205.0,64.26,205.0,72.95,2018-19
984,Yerba Buena High,East Side Union High,Santa Clara,420.0,151.0,114.0,75.5,76.0,50.33,434.0,367.0,196.0,53.41,143.0,38.96,74.0,49.01,121.0,32.97,2018-19
987,Porterville High,Porterville Unified,Tulare,435.0,115.0,72.0,62.61,34.0,29.57,503.0,117.0,80.0,68.38,49.0,41.88,29.0,25.22,45.0,38.46,2018-19
990,Jefferson High,Jefferson Union High,San Mateo,260.0,228.0,102.0,44.74,44.0,19.3,290.0,64.0,48.0,75.0,37.0,57.81,41.0,17.98,34.0,53.13,2018-19
991,Palo Alto High,Palo Alto Unified,Santa Clara,507.0,184.0,178.0,96.74,163.0,88.59,527.0,347.0,343.0,98.85,333.0,95.97,162.0,88.04,331.0,95.39,2018-19
992,Rancho Campana High,Oxnard Union High,Ventura,166.0,125.0,106.0,84.8,85.0,68.0,157.0,141.0,117.0,82.98,91.0,64.54,81.0,64.8,91.0,64.54,2018-19
993,Newbury Park High,Conejo Valley Unified,Ventura,596.0,220.0,205.0,93.18,168.0,76.36,599.0,275.0,261.0,94.91,250.0,90.91,168.0,76.36,242.0,88.0,2018-19
997,Pomona High,Pomona Unified,Los Angeles,270.0,130.0,52.0,40.0,25.0,19.23,307.0,131.0,68.0,51.91,40.0,30.53,19.0,14.62,33.0,25.19,2018-19
1000,Oakland Unity High,Oakland Unified,Alameda,81.0,35.0,18.0,51.43,15.0,42.86,87.0,63.0,38.0,60.32,32.0,50.79,14.0,40.0,28.0,44.44,2018-19
1001,ARISE High,Oakland Unified,Alameda,68.0,39.0,13.0,33.33,6.0,15.38,70.0,27.0,14.0,51.85,3.0,11.11,4.0,10.26,3.0,11.11,2018-19
1002,Bellflower High,Bellflower Unified,Los Angeles,367.0,101.0,75.0,74.26,52.0,51.49,406.0,79.0,67.0,84.81,54.0,68.35,49.0,48.51,51.0,64.56,2018-19
1003,Santiago High,Corona-Norco Unified,Riverside,813.0,392.0,313.0,79.85,251.0,64.03,914.0,402.0,346.0,86.07,305.0,75.87,239.0,60.97,291.0,72.39,2018-19
1004,Harbor High,Santa Cruz City High,Santa Cruz,179.0,65.0,50.0,76.92,43.0,66.15,192.0,81.0,68.0,83.95,60.0,74.07,39.0,60.0,56.0,69.14,2018-19
1005,Soquel High,Santa Cruz City High,Santa Cruz,269.0,103.0,86.0,83.5,59.0,57.28,247.0,111.0,97.0,87.39,78.0,70.27,58.0,56.31,77.0,69.37,2018-19
1007,Holtville High,Holtville Unified,Imperial,138.0,51.0,40.0,78.43,19.0,37.25,128.0,42.0,36.0,85.71,18.0,42.86,18.0,35.29,18.0,42.86,2018-19
1008,Beverly Hills High,Beverly Hills Unified,Los Angeles,404.0,145.0,139.0,95.86,117.0,80.69,331.0,222.0,193.0,86.94,166.0,74.77,116.0,80.0,162.0,72.97,2018-19
1009,San Marino High,San Marino Unified,Los Angeles,269.0,120.0,114.0,95.0,112.0,93.33,265.0,164.0,161.0,98.17,160.0,97.56,110.0,91.67,158.0,96.34,2018-19
1012,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,Los Angeles,123.0,84.0,30.0,35.71,10.0,11.9,114.0,108.0,35.0,32.41,17.0,15.74,10.0,11.9,13.0,12.04,2018-19
1013,Pacifica High,Garden Grove Unified,Orange,395.0,173.0,154.0,89.02,120.0,69.36,385.0,193.0,175.0,90.67,157.0,81.35,117.0,67.63,151.0,78.24,2018-19
1014,Beaumont Senior High,Beaumont Unified,Riverside,652.0,571.0,335.0,58.67,163.0,28.55,656.0,562.0,329.0,58.54,168.0,29.89,158.0,27.67,159.0,28.29,2018-19
1016,Willows High,Willows Unified,Glenn,115.0,27.0,14.0,51.85,6.0,22.22,121.0,30.0,24.0,80.0,17.0,56.67,5.0,18.52,15.0,50.0,2018-19
1017,Yosemite High,Yosemite Unified,Madera,135.0,50.0,41.0,82.0,24.0,48.0,144.0,51.0,48.0,94.12,40.0,78.43,23.0,46.0,40.0,78.43,2018-19
1020,El Capitan High,Grossmont Union High,San Diego,406.0,103.0,81.0,78.64,49.0,47.57,406.0,101.0,92.0,91.09,79.0,78.22,48.0,46.6,76.0,75.25,2018-19
1021,Granite Hills High,Grossmont Union High,San Diego,557.0,138.0,113.0,81.88,90.0,65.22,542.0,157.0,134.0,85.35,115.0,73.25,85.0,61.59,112.0,71.34,2018-19
1022,Indian Springs High,San Bernardino City Unified,San Bernardino,382.0,65.0,26.0,40.0,10.0,15.38,426.0,353.0,130.0,36.83,49.0,13.88,10.0,15.38,43.0,12.18,2018-19
1023,San Gorgonio High,San Bernardino City Unified,San Bernardino,450.0,170.0,106.0,62.35,59.0,34.71,451.0,350.0,164.0,46.86,52.0,14.86,56.0,32.94,46.0,13.14,2018-19
1027,Hawthorne Math and Science Academy,Hawthorne,Los Angeles,112.0,64.0,55.0,85.94,42.0,65.63,128.0,106.0,93.0,87.74,80.0,75.47,41.0,64.06,78.0,73.58,2018-19
1028,Maywood Center for Enriched Studies,Los Angeles Unified,Los Angeles,90.0,57.0,29.0,50.88,10.0,17.54,119.0,112.0,35.0,31.25,18.0,16.07,8.0,14.04,18.0,16.07,2018-19
1030,Robert Fulton College Preparatory,Los Angeles Unified,Los Angeles,144.0,57.0,24.0,42.11,12.0,21.05,169.0,180.0,66.0,36.67,23.0,12.78,11.0,19.3,21.0,11.67,2018-19
1031,Los Altos High,Hacienda la Puente Unified,Los Angeles,411.0,382.0,177.0,46.34,106.0,27.75,404.0,382.0,181.0,47.38,97.0,25.39,97.0,25.39,86.0,22.51,2018-19
1032,Encore High School for the Arts - Riverside,Riverside Unified,Riverside,95.0,37.0,29.0,78.38,10.0,27.03,111.0,24.0,22.0,91.67,15.0,62.5,9.0,24.32,15.0,62.5,2018-19
1034,KIPP King Collegiate High,San Lorenzo Unified,Alameda,144.0,65.0,44.0,67.69,31.0,47.69,159.0,129.0,109.0,84.5,92.0,71.32,27.0,41.54,91.0,70.54,2018-19
1036,Edgewood High,West Covina Unified,Los Angeles,192.0,92.0,71.0,77.17,44.0,47.83,199.0,57.0,49.0,85.96,38.0,66.67,41.0,44.57,38.0,66.67,2018-19
1037,West Covina High,West Covina Unified,Los Angeles,514.0,240.0,188.0,78.33,133.0,55.42,506.0,197.0,169.0,85.79,137.0,69.54,122.0,50.83,127.0,64.47,2018-19
1038,Canyon High,Orange Unified,Orange,572.0,417.0,341.0,81.77,255.0,61.15,506.0,163.0,158.0,96.93,138.0,84.66,249.0,59.71,138.0,84.66,2018-19
1039,Orange High,Orange Unified,Orange,396.0,381.0,134.0,35.17,71.0,18.64,436.0,33.0,31.0,93.94,24.0,72.73,63.0,16.54,24.0,72.73,2018-19
1041,McFarland High,McFarland Unified,Kern,203.0,66.0,25.0,37.88,7.0,10.61,232.0,140.0,54.0,38.57,33.0,23.57,6.0,9.09,29.0,20.71,2018-19
1043,Grover Cleveland Charter High,Los Angeles Unified,Los Angeles,651.0,274.0,207.0,75.55,141.0,51.46,748.0,582.0,404.0,69.42,268.0,46.05,134.0,48.91,262.0,45.02,2018-19
1044,Diamond Bar High,Walnut Valley Unified,Los Angeles,749.0,422.0,373.0,88.39,338.0,80.09,719.0,450.0,431.0,95.78,423.0,94.0,322.0,76.3,414.0,92.0,2018-19
1045,Granite Hills High,Apple Valley Unified,San Bernardino,371.0,77.0,58.0,75.32,24.0,31.17,365.0,93.0,75.0,80.65,33.0,35.48,22.0,28.57,32.0,34.41,2018-19
1047,Cerritos High,ABC Unified,Los Angeles,509.0,247.0,225.0,91.09,191.0,77.33,547.0,261.0,250.0,95.79,232.0,88.89,185.0,74.9,226.0,86.59,2018-19
1048,La Mirada High,Norwalk-La Mirada Unified,Los Angeles,468.0,428.0,257.0,60.05,139.0,32.48,459.0,403.0,279.0,69.23,140.0,34.74,133.0,31.07,134.0,33.25,2018-19
1050,High Tech High North County,SBC - High Tech High,San Diego,95.0,58.0,42.0,72.41,25.0,43.1,83.0,55.0,49.0,89.09,43.0,78.18,24.0,41.38,42.0,76.36,2018-19
1051,Edison High,Fresno Unified,Fresno,560.0,185.0,142.0,76.76,93.0,50.27,586.0,498.0,329.0,66.06,199.0,39.96,88.0,47.57,197.0,39.56,2018-19
1053,PUC Triumph Charter Academy and PUC Triumph Charter High,Los Angeles Unified,Los Angeles,116.0,61.0,27.0,44.26,14.0,22.95,92.0,66.0,32.0,48.48,21.0,31.82,11.0,18.03,18.0,27.27,2018-19
1055,Segerstrom High,Santa Ana Unified,Orange,457.0,425.0,207.0,48.71,145.0,34.12,654.0,190.0,144.0,75.79,124.0,65.26,126.0,29.65,112.0,58.95,2018-19
1056,Middle College High,Santa Ana Unified,Orange,86.0,87.0,71.0,81.61,37.0,42.53,82.0,78.0,74.0,94.87,64.0,82.05,35.0,40.23,63.0,80.77,2018-19
1057,Highlands High,Twin Rivers Unified,Sacramento,143.0,134.0,45.0,33.58,21.0,15.67,189.0,43.0,23.0,53.49,19.0,44.19,20.0,14.93,16.0,37.21,2018-19
1059,Encinal Junior/Senior High,Alameda Unified,Alameda,233.0,92.0,69.0,75.0,54.0,58.7,227.0,76.0,70.0,92.11,63.0,82.89,51.0,55.43,59.0,77.63,2018-19
1061,Foothill High,Kern High,Kern,471.0,120.0,60.0,50.0,39.0,32.5,513.0,44.0,33.0,75.0,29.0,65.91,35.0,29.17,24.0,54.55,2018-19
1062,South El Monte High,El Monte Union High,Los Angeles,278.0,119.0,77.0,64.71,50.0,42.02,314.0,126.0,77.0,61.11,53.0,42.06,44.0,36.97,46.0,36.51,2018-19
1064,Canyon High,William S. Hart Union High,Los Angeles,536.0,150.0,128.0,85.33,84.0,56.0,544.0,169.0,149.0,88.17,125.0,73.96,82.0,54.67,118.0,69.82,2018-19
1065,Valencia High,William S. Hart Union High,Los Angeles,714.0,251.0,227.0,90.44,174.0,69.32,669.0,273.0,263.0,96.34,239.0,87.55,169.0,67.33,235.0,86.08,2018-19
1068,Making Waves Academy,Contra Costa County Office of Education,Contra Costa,83.0,77.0,39.0,50.65,23.0,29.87,87.0,86.0,52.0,60.47,36.0,41.86,20.0,25.97,32.0,37.21,2018-19
1069,"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet",Los Angeles Unified,Los Angeles,216.0,72.0,18.0,25.0,2.0,2.78,217.0,158.0,35.0,22.15,8.0,5.06,1.0,1.39,5.0,3.16,2018-19
1071,Inspire Charter,Acton-Agua Dulce Unified,Los Angeles,133.0,19.0,17.0,89.47,6.0,31.58,148.0,23.0,22.0,95.65,14.0,60.87,6.0,31.58,14.0,60.87,2018-19
1072,Napa High,Napa Valley Unified,Napa,432.0,155.0,94.0,60.65,72.0,46.45,479.0,235.0,156.0,66.38,108.0,45.96,65.0,41.94,101.0,42.98,2018-19
1073,Alhambra Senior High,Martinez Unified,Contra Costa,284.0,79.0,71.0,89.87,60.0,75.95,264.0,82.0,76.0,92.68,68.0,82.93,60.0,75.95,66.0,80.49,2018-19
1074,Middletown High,Middletown Unified,Lake,119.0,37.0,30.0,81.08,21.0,56.76,130.0,26.0,23.0,88.46,12.0,46.15,19.0,51.35,12.0,46.15,2018-19
1076,Monrovia High,Monrovia Unified,Los Angeles,393.0,182.0,135.0,74.18,81.0,44.51,358.0,103.0,86.0,83.5,73.0,70.87,79.0,43.41,68.0,66.02,2018-19
1078,Frontier High,Oxnard Union High,Ventura,145.0,81.0,2.0,2.47,1.0,1.23,168.0,44.0,1.0,2.27,0.0,0.0,1.0,1.23,0.0,0.0,2018-19
1081,Elizabeth Learning Center,Los Angeles Unified,Los Angeles,129.0,76.0,30.0,39.47,11.0,14.47,203.0,190.0,70.0,36.84,15.0,7.89,9.0,11.84,11.0,5.79,2018-19
1082,River Valley Charter,Lakeside Union Elementary,San Diego,50.0,20.0,20.0,100.0,17.0,85.0,55.0,25.0,25.0,100.0,23.0,92.0,17.0,85.0,23.0,92.0,2018-19
1083,Capuchino High,San Mateo Union High,San Mateo,275.0,122.0,103.0,84.43,69.0,56.56,317.0,93.0,81.0,87.1,64.0,68.82,65.0,53.28,62.0,66.67,2018-19
1084,San Mateo High,San Mateo Union High,San Mateo,414.0,143.0,124.0,86.71,101.0,70.63,431.0,221.0,193.0,87.33,177.0,80.09,100.0,69.93,170.0,76.92,2018-19
1085,"Oakland Military Institute, College Preparatory Academy",Oakland Unified,Alameda,85.0,79.0,33.0,41.77,18.0,22.78,108.0,100.0,28.0,28.0,18.0,18.0,16.0,20.25,16.0,16.0,2018-19
1086,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,141.0,139.0,84.0,60.43,52.0,37.41,155.0,147.0,98.0,66.67,65.0,44.22,49.0,35.25,61.0,41.5,2018-19
1091,Golden Valley High,Merced Union High,Merced,397.0,145.0,87.0,60.0,51.0,35.17,440.0,93.0,61.0,65.59,35.0,37.63,44.0,30.34,31.0,33.33,2018-19
1092,Western Center Academy,Hemet Unified,Riverside,67.0,67.0,64.0,95.52,50.0,74.63,57.0,40.0,40.0,100.0,35.0,87.5,50.0,74.63,35.0,87.5,2018-19
1093,University City High,San Diego Unified,San Diego,459.0,196.0,156.0,79.59,121.0,61.73,431.0,212.0,194.0,91.51,175.0,82.55,117.0,59.69,172.0,81.13,2018-19
1095,Henry High,San Diego Unified,San Diego,506.0,225.0,194.0,86.22,151.0,67.11,580.0,311.0,295.0,94.86,245.0,78.78,145.0,64.44,244.0,78.46,2018-19
1098,Westmont High,Campbell Union High,Santa Clara,354.0,129.0,122.0,94.57,99.0,76.74,390.0,165.0,160.0,96.97,141.0,85.45,99.0,76.74,141.0,85.45,2018-19
1099,Vanden High,Travis Unified,Solano,367.0,162.0,132.0,81.48,90.0,55.56,424.0,144.0,131.0,90.97,105.0,72.92,87.0,53.7,103.0,71.53,2018-19
1100,Lynbrook High,Fremont Union High,Santa Clara,415.0,112.0,108.0,96.43,106.0,94.64,441.0,314.0,314.0,100.0,313.0,99.68,106.0,94.64,313.0,99.68,2018-19
1102,Saratoga High,Los Gatos-Saratoga Joint Union High,Santa Clara,321.0,88.0,86.0,97.73,84.0,95.45,364.0,249.0,246.0,98.8,242.0,97.19,83.0,94.32,242.0,97.19,2018-19
1104,Lemoore Middle College High,Lemoore Union High,Kings,59.0,39.0,37.0,94.87,24.0,61.54,58.0,36.0,28.0,77.78,22.0,61.11,24.0,61.54,20.0,55.56,2018-19
1106,Grand Terrace High School at the Ray Abril Jr. Educational Complex,Colton Joint Unified,San Bernardino,503.0,166.0,119.0,71.69,73.0,43.98,449.0,129.0,90.0,69.77,56.0,43.41,67.0,40.36,55.0,42.64,2018-19
1108,Channel Islands High,Oxnard Union High,Ventura,611.0,421.0,153.0,36.34,82.0,19.48,665.0,532.0,213.0,40.04,102.0,19.17,76.0,18.05,87.0,16.35,2018-19
1109,Rio Mesa High,Oxnard Union High,Ventura,549.0,352.0,158.0,44.89,105.0,29.83,524.0,403.0,190.0,47.15,112.0,27.79,98.0,27.84,99.0,24.57,2018-19
1110,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458.0,106.0,97.0,91.51,84.0,79.25,469.0,385.0,287.0,74.55,218.0,56.62,82.0,77.36,210.0,54.55,2018-19
1111,Buena High,Ventura Unified,Ventura,412.0,110.0,88.0,80.0,60.0,54.55,419.0,75.0,65.0,86.67,52.0,69.33,58.0,52.73,52.0,69.33,2018-19
1112,Rim of the World Senior High,Rim of the World Unified,San Bernardino,209.0,56.0,41.0,73.21,19.0,33.93,210.0,47.0,43.0,91.49,26.0,55.32,17.0,30.36,25.0,53.19,2018-19
1113,Del Norte High,Poway Unified,San Diego,515.0,221.0,208.0,94.12,186.0,84.16,560.0,393.0,388.0,98.73,386.0,98.22,183.0,82.81,384.0,97.71,2018-19
1114,Escalon High,Escalon Unified,San Joaquin,188.0,63.0,48.0,76.19,30.0,47.62,190.0,51.0,45.0,88.24,39.0,76.47,28.0,44.44,38.0,74.51,2018-19
1118,Monte Vista High,Grossmont Union High,San Diego,456.0,114.0,87.0,76.32,81.0,71.05,391.0,96.0,70.0,72.92,66.0,68.75,72.0,63.16,57.0,59.38,2018-19
1121,Oakdale High,Oakdale Joint Unified,Stanislaus,350.0,90.0,70.0,77.78,67.0,74.44,372.0,113.0,105.0,92.92,81.0,71.68,59.0,65.56,79.0,69.91,2018-19
1123,Ramon C. Cortines School of Visual and Performing Arts,Los Angeles Unified,Los Angeles,342.0,211.0,146.0,69.19,66.0,31.28,326.0,289.0,160.0,55.36,69.0,23.88,62.0,29.38,62.0,21.45,2018-19
1125,Ganesha High,Pomona Unified,Los Angeles,207.0,66.0,23.0,34.85,7.0,10.61,255.0,51.0,31.0,60.78,15.0,29.41,7.0,10.61,12.0,23.53,2018-19
1126,Diamond Ranch High,Pomona Unified,Los Angeles,377.0,211.0,163.0,77.25,86.0,40.76,399.0,167.0,142.0,85.03,99.0,59.28,85.0,40.28,96.0,57.49,2018-19
1127,Ukiah High,Ukiah Unified,Mendocino,365.0,81.0,68.0,83.95,52.0,64.2,375.0,81.0,67.0,82.72,65.0,80.25,49.0,60.49,61.0,75.31,2018-19
1128,Santiago High,Garden Grove Unified,Orange,533.0,246.0,140.0,56.91,80.0,32.52,483.0,225.0,144.0,64.0,99.0,44.0,68.0,27.64,86.0,38.22,2018-19
1131,PUC CALS Middle School and Early College High,Los Angeles Unified,Los Angeles,58.0,36.0,18.0,50.0,16.0,44.44,69.0,49.0,21.0,42.86,12.0,24.49,13.0,36.11,11.0,22.45,2018-19
1132,Greenfield High,South Monterey County Joint Union High,Monterey,268.0,106.0,45.0,42.45,9.0,8.49,295.0,27.0,15.0,55.56,11.0,40.74,8.0,7.55,10.0,37.04,2018-19
1137,Impact Academy of Arts & Technology,Hayward Unified,Alameda,102.0,54.0,29.0,53.7,22.0,40.74,121.0,96.0,63.0,65.63,40.0,41.67,21.0,38.89,38.0,39.58,2018-19
1138,McKinleyville High,Northern Humboldt Union High,Humboldt,143.0,35.0,32.0,91.43,25.0,71.43,116.0,34.0,29.0,85.29,25.0,73.53,24.0,68.57,24.0,70.59,2018-19
1140,International Polytechnic High,Los Angeles County Office of Education,Los Angeles,131.0,75.0,71.0,94.67,50.0,66.67,131.0,62.0,62.0,100.0,52.0,83.87,49.0,65.33,52.0,83.87,2018-19
1141,Middle College High,Los Angeles Unified,Los Angeles,88.0,66.0,44.0,66.67,19.0,28.79,91.0,91.0,65.0,71.43,22.0,24.18,17.0,25.76,22.0,24.18,2018-19
1143,Fowler High,Fowler Unified,Fresno,203.0,76.0,44.0,57.89,19.0,25.0,156.0,94.0,55.0,58.51,27.0,28.72,18.0,23.68,26.0,27.66,2018-19
1144,Erma Duncan Polytechnical High,Fresno Unified,Fresno,210.0,55.0,28.0,50.91,10.0,18.18,278.0,256.0,104.0,40.63,27.0,10.55,7.0,12.73,24.0,9.38,2018-19
1146,Liberty High,Kern High,Kern,540.0,195.0,167.0,85.64,138.0,70.77,504.0,125.0,111.0,88.8,97.0,77.6,134.0,68.72,92.0,73.6,2018-19
1147,Mountain View High,El Monte Union High,Los Angeles,330.0,85.0,55.0,64.71,28.0,32.94,281.0,76.0,50.0,65.79,40.0,52.63,26.0,30.59,35.0,46.05,2018-19
1148,Humanities and Arts (HARTS) Academy of Los Angeles,Los Angeles Unified,Los Angeles,105.0,31.0,20.0,64.52,9.0,29.03,104.0,96.0,31.0,32.29,7.0,7.29,9.0,29.03,7.0,7.29,2018-19
1149,Camino Nuevo High #2,Los Angeles Unified,Los Angeles,112.0,68.0,32.0,47.06,12.0,17.65,116.0,89.0,44.0,49.44,14.0,15.73,10.0,14.71,12.0,13.48,2018-19
1151,Mammoth High,Mammoth Unified,Mono,98.0,26.0,24.0,92.31,15.0,57.69,84.0,17.0,16.0,94.12,13.0,76.47,15.0,57.69,13.0,76.47,2018-19
1152,Vista del Lago High,Moreno Valley Unified,Riverside,450.0,413.0,166.0,40.19,81.0,19.61,486.0,110.0,73.0,66.36,48.0,43.64,74.0,17.92,42.0,38.18,2018-19
1153,Natomas High,Natomas Unified,Sacramento,243.0,78.0,30.0,38.46,16.0,20.51,268.0,228.0,68.0,29.82,29.0,12.72,12.0,15.38,26.0,11.4,2018-19
1156,Rancho Buena Vista High,Vista Unified,San Diego,484.0,142.0,112.0,78.87,97.0,68.31,483.0,131.0,116.0,88.55,107.0,81.68,95.0,66.9,101.0,77.1,2018-19
1157,LIFE Academy,Oakland Unified,Alameda,65.0,39.0,25.0,64.1,16.0,41.03,66.0,18.0,11.0,61.11,8.0,44.44,15.0,38.46,7.0,38.89,2018-19
1158,Animo Watts College Preparatory Academy,Los Angeles Unified,Los Angeles,128.0,44.0,25.0,56.82,11.0,25.0,127.0,119.0,44.0,36.97,12.0,10.08,11.0,25.0,8.0,6.72,2018-19
1159,Hillcrest High,Alvord Unified,Riverside,391.0,123.0,89.0,72.36,62.0,50.41,415.0,354.0,226.0,63.84,134.0,37.85,55.0,44.72,124.0,35.03,2018-19
1161,Rosemont High,Sacramento City Unified,Sacramento,300.0,67.0,50.0,74.63,38.0,56.72,297.0,256.0,161.0,62.89,74.0,28.91,37.0,55.22,71.0,27.73,2018-19
1162,High Tech High International,San Diego Unified,San Diego,98.0,77.0,58.0,75.32,38.0,49.35,98.0,60.0,46.0,76.67,30.0,50.0,37.0,48.05,29.0,48.33,2018-19
1163,Washington High,Washington Unified,Fresno,240.0,82.0,36.0,43.9,9.0,10.98,260.0,148.0,75.0,50.68,38.0,25.68,8.0,9.76,35.0,23.65,2018-19
1164,Hamilton High,Hamilton Unified,Glenn,86.0,25.0,13.0,52.0,5.0,20.0,48.0,24.0,15.0,62.5,8.0,33.33,4.0,16.0,7.0,29.17,2018-19
1165,Liberty High,Golden Valley Unified,Madera,138.0,47.0,40.0,85.11,23.0,48.94,132.0,32.0,29.0,90.63,23.0,71.88,21.0,44.68,23.0,71.88,2018-19
1167,El Cajon Valley High,Grossmont Union High,San Diego,553.0,85.0,57.0,67.06,45.0,52.94,371.0,83.0,46.0,55.42,23.0,27.71,42.0,49.41,19.0,22.89,2018-19
1168,Washington (George) High,San Francisco Unified,San Francisco,489.0,279.0,211.0,75.63,198.0,70.97,500.0,244.0,208.0,85.25,201.0,82.38,172.0,61.65,181.0,74.18,2018-19
1170,UCLA Community K-12,Los Angeles Unified,Los Angeles,91.0,54.0,32.0,59.26,22.0,40.74,113.0,117.0,59.0,50.43,34.0,29.06,21.0,38.89,32.0,27.35,2018-19
1171,Vista del Lago High,Folsom-Cordova Unified,Sacramento,441.0,159.0,148.0,93.08,133.0,83.65,475.0,276.0,266.0,96.38,259.0,93.84,130.0,81.76,253.0,91.67,2018-19
1173,Morningside High,Inglewood Unified,Los Angeles,193.0,59.0,27.0,45.76,5.0,8.47,170.0,23.0,17.0,73.91,5.0,21.74,5.0,8.47,4.0,17.39,2018-19
1174,Glen A. Wilson High,Hacienda la Puente Unified,Los Angeles,355.0,329.0,205.0,62.31,170.0,51.67,386.0,358.0,242.0,67.6,199.0,55.59,152.0,46.2,190.0,53.07,2018-19
1175,Martin Luther King Jr. High,Riverside Unified,Riverside,759.0,336.0,270.0,80.36,226.0,67.26,711.0,276.0,252.0,91.3,238.0,86.23,213.0,63.39,230.0,83.33,2018-19
1178,Birmingham Community Charter High,Los Angeles Unified,Los Angeles,798.0,698.0,286.0,40.97,162.0,23.21,744.0,639.0,310.0,48.51,163.0,25.51,139.0,19.91,150.0,23.47,2018-19
1183,Bell Gardens High,Montebello Unified,Los Angeles,653.0,196.0,116.0,59.18,53.0,27.04,637.0,160.0,100.0,62.5,49.0,30.63,49.0,25.0,45.0,28.13,2018-19
1185,Great Oak High,Temecula Valley Unified,Riverside,756.0,349.0,313.0,89.68,245.0,70.2,776.0,390.0,358.0,91.79,320.0,82.05,235.0,67.34,311.0,79.74,2018-19
1186,Rancho Cucamonga High,Chaffey Joint Union High,San Bernardino,798.0,407.0,309.0,75.92,208.0,51.11,862.0,398.0,341.0,85.68,293.0,73.62,195.0,47.91,275.0,69.1,2018-19
1188,Downtown College Preparatory,San Jose Unified,Santa Clara,85.0,56.0,17.0,30.36,4.0,7.14,103.0,79.0,28.0,35.44,8.0,10.13,3.0,5.36,7.0,8.86,2018-19
1189,Pioneer High,San Jose Unified,Santa Clara,381.0,96.0,84.0,87.5,66.0,68.75,423.0,383.0,323.0,84.33,252.0,65.8,63.0,65.63,248.0,64.75,2018-19
1190,Eunice Sato Academy of Math & Science,Long Beach Unified,Los Angeles,103.0,79.0,75.0,94.94,71.0,89.87,95.0,93.0,86.0,92.47,84.0,90.32,69.0,87.34,80.0,86.02,2018-19
1192,Northwood High,Irvine Unified,Orange,623.0,226.0,220.0,97.35,209.0,92.48,519.0,247.0,241.0,97.57,242.0,97.98,208.0,92.04,239.0,96.76,2018-19
1193,San Marcos High,San Marcos Unified,San Diego,748.0,307.0,268.0,87.3,201.0,65.47,835.0,376.0,337.0,89.63,287.0,76.33,193.0,62.87,282.0,75.0,2018-19
1196,Clovis High,Clovis Unified,Fresno,733.0,243.0,183.0,75.31,119.0,48.97,659.0,329.0,261.0,79.33,206.0,62.61,115.0,47.33,198.0,60.18,2018-19
1197,Math and Science College Preparatory,Los Angeles Unified,Los Angeles,155.0,27.0,21.0,77.78,14.0,51.85,135.0,132.0,69.0,52.27,43.0,32.58,13.0,48.15,37.0,28.03,2018-19
