,school_name,district_name,county_name,enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21,year
825,KIPP San Francisco College Preparatory,San Francisco Unified,San Francisco,53.0,50.0,20.0,19.0,19.0,19.0,20.0,40.0,2018-19
826,KIPP San Jose Collegiate,East Side Union High,Santa Clara,112.0,100.0,20.0,20.0,20.0,20.0,40.0,40.0,2018-19
828,L.A. County High School for the Arts,Los Angeles County Office of Education,Los Angeles,128.0,36.0,26.0,26.0,21.0,22.0,25.0,69.44,2018-19
829,La Canada High,La Canada Unified,Los Angeles,346.0,138.0,29.0,29.0,29.0,28.0,130.0,94.2,2018-19
830,La Costa Canyon High,San Dieguito Union High,San Diego,523.0,248.0,25.0,26.0,25.0,25.0,207.0,83.47,2018-19
832,La Habra High,Fullerton Joint Union High,Orange,539.0,59.0,24.0,23.0,22.0,22.0,39.0,66.1,2018-19
833,La Jolla High,San Diego Unified,San Diego,339.0,112.0,29.0,29.0,27.0,27.0,106.0,94.64,2018-19
834,La Mirada High,Norwalk-La Mirada Unified,Los Angeles,468.0,42.0,24.0,23.0,21.0,21.0,29.0,69.05,2018-19
835,La Puente High,Hacienda la Puente Unified,Los Angeles,254.0,41.0,22.0,20.0,21.0,20.0,25.0,60.98,2018-19
836,La Quinta High,Garden Grove Unified,Orange,561.0,199.0,24.0,25.0,25.0,23.0,159.0,79.9,2018-19
837,La Quinta High,Desert Sands Unified,Riverside,618.0,62.0,22.0,20.0,20.0,21.0,30.0,48.39,2018-19
838,La Serna High,Whittier Union High,Los Angeles,609.0,70.0,23.0,22.0,23.0,22.0,49.0,70.0,2018-19
839,La Sierra High,Alvord Unified,Riverside,418.0,61.0,18.0,18.0,19.0,19.0,15.0,24.59,2018-19
843,Laguna Beach High,Laguna Beach Unified,Orange,294.0,165.0,26.0,27.0,26.0,26.0,149.0,90.3,2018-19
844,Laguna Creek High,Elk Grove Unified,Sacramento,451.0,85.0,24.0,23.0,23.0,23.0,61.0,71.76,2018-19
845,Laguna Hills High,Saddleback Valley Unified,Orange,374.0,66.0,26.0,26.0,25.0,24.0,54.0,81.82,2018-19
847,Lakeside High,Lake Elsinore Unified,Riverside,387.0,92.0,19.0,18.0,19.0,19.0,30.0,32.61,2018-19
848,Lakewood High,Long Beach Unified,Los Angeles,743.0,38.0,22.0,21.0,21.0,21.0,22.0,57.89,2018-19
849,Lancaster High,Antelope Valley Union High,Los Angeles,575.0,45.0,21.0,21.0,19.0,20.0,19.0,42.22,2018-19
852,Las Lomas High,Acalanes Union High,Contra Costa,367.0,128.0,26.0,26.0,25.0,25.0,107.0,83.59,2018-19
854,Lassen High,Lassen Union High,Lassen,188.0,27.0,22.0,21.0,21.0,21.0,15.0,55.56,2018-19
855,Lathrop High,Manteca Unified,San Joaquin,321.0,32.0,21.0,21.0,21.0,21.0,17.0,53.13,2018-19
858,Lawndale High,Centinela Valley Union High,Los Angeles,553.0,28.0,18.0,17.0,17.0,18.0,5.0,17.86,2018-19
860,Le Grand High,Le Grand Union High,Merced,95.0,33.0,17.0,15.0,17.0,17.0,4.0,12.12,2018-19
861,Leadership High,San Francisco Unified,San Francisco,75.0,26.0,17.0,15.0,16.0,16.0,2.0,7.69,2018-19
862,Leadership Public Schools - Hayward,Hayward Unified,Alameda,140.0,134.0,19.0,18.0,19.0,19.0,39.0,29.1,2018-19
863,Leadership Public Schools: Richmond,West Contra Costa Unified,Contra Costa,149.0,148.0,17.0,15.0,17.0,16.0,18.0,12.16,2018-19
869,Leigh High,Campbell Union High,Santa Clara,415.0,133.0,28.0,28.0,28.0,27.0,120.0,90.23,2018-19
870,Leland High,San Jose Unified,Santa Clara,454.0,164.0,29.0,30.0,29.0,28.0,148.0,90.24,2018-19
871,Lemoore High,Lemoore Union High,Kings,410.0,81.0,20.0,19.0,19.0,19.0,28.0,34.57,2018-19
873,Lennox Mathematics Science and Technology Academy,Lennox,Los Angeles,143.0,105.0,18.0,17.0,19.0,18.0,27.0,25.71,2018-19
874,Leroy Greene Academy,Natomas Unified,Sacramento,67.0,69.0,17.0,16.0,17.0,17.0,9.0,13.04,2018-19
875,Leuzinger High,Centinela Valley Union High,Los Angeles,415.0,33.0,18.0,17.0,17.0,17.0,4.0,12.12,2018-19
876,Liberty High,Golden Valley Unified,Madera,138.0,17.0,23.0,24.0,22.0,22.0,12.0,70.59,2018-19
877,Liberty High,Kern High,Kern,540.0,60.0,23.0,22.0,22.0,22.0,42.0,70.0,2018-19
878,Liberty High,Liberty Union High,Contra Costa,610.0,82.0,24.0,22.0,22.0,22.0,55.0,67.07,2018-19
880,Liberty Ranch High,Galt Joint Union High,Sacramento,315.0,32.0,23.0,23.0,22.0,22.0,23.0,71.88,2018-19
881,LIFE Academy,Oakland Unified,Alameda,65.0,27.0,20.0,20.0,20.0,20.0,13.0,48.15,2018-19
882,Lifeline Education Charter,Compton Unified,Los Angeles,59.0,36.0,16.0,14.0,16.0,15.0,4.0,11.11,2018-19
884,Lincoln (Abraham) High,San Francisco Unified,San Francisco,519.0,112.0,22.0,21.0,22.0,21.0,64.0,57.14,2018-19
885,Lincoln High,San Diego Unified,San Diego,364.0,81.0,18.0,17.0,18.0,18.0,13.0,16.05,2018-19
886,Lincoln High,Western Placer Unified,Placer,414.0,57.0,24.0,23.0,22.0,23.0,38.0,66.67,2018-19
887,Lincoln High,Lincoln Unified,San Joaquin,676.0,59.0,23.0,22.0,23.0,23.0,43.0,72.88,2018-19
888,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,Los Angeles Unified,Los Angeles,144.0,88.0,16.0,16.0,17.0,17.0,8.0,9.09,2018-19
889,Linda Esperanza Marquez High B LIBRA Academy,Los Angeles Unified,Los Angeles,141.0,37.0,18.0,18.0,18.0,18.0,10.0,27.03,2018-19
